,support,confidence,lift,antecedants rubric,consequents rubric
1035,0.025552187093980078,0.8251748251748252,15.617448125644849,"['BMI', 'BP Systolic', 'LEAVING_INDICATOR']","['BP Diastolic', 'O/E - blood pressure reading', 'O/E - weight']"
1040,0.025552187093980078,0.4836065573770492,15.617448125644849,"['O/E - blood pressure reading', 'BP Systolic', 'O/E - weight']","['BP Diastolic', 'BMI', 'LEAVING_INDICATOR']"
1052,0.025552187093980078,0.4836065573770492,15.617448125644849,"['BP Diastolic', 'O/E - blood pressure reading', 'O/E - weight']","['BMI', 'BP Systolic', 'LEAVING_INDICATOR']"
1047,0.025552187093980078,0.8251748251748252,15.617448125644849,"['BP Diastolic', 'BMI', 'LEAVING_INDICATOR']","['O/E - blood pressure reading', 'BP Systolic', 'O/E - weight']"
1420,0.025552187093980078,0.8251748251748252,15.42776252087993,"['BP Diastolic', 'BMI', 'LEAVING_INDICATOR']","['O/E - blood pressure reading', 'O/E - weight']"
975,0.025552187093980078,0.8251748251748252,15.42776252087993,"['BMI', 'BP Systolic', 'LEAVING_INDICATOR']","['O/E - blood pressure reading', 'O/E - weight']"
1022,0.025552187093980078,0.8251748251748252,15.42776252087993,"['BP Diastolic', 'BMI', 'BP Systolic', 'LEAVING_INDICATOR']","['O/E - blood pressure reading', 'O/E - weight']"
1431,0.025552187093980078,0.4777327935222672,15.42776252087993,"['O/E - blood pressure reading', 'O/E - weight']","['BP Diastolic', 'BMI', 'LEAVING_INDICATOR']"
1065,0.025552187093980078,0.4777327935222672,15.42776252087993,"['O/E - blood pressure reading', 'O/E - weight']","['BP Diastolic', 'BMI', 'BP Systolic', 'LEAVING_INDICATOR']"
992,0.025552187093980078,0.4777327935222672,15.42776252087993,"['O/E - blood pressure reading', 'O/E - weight']","['BMI', 'BP Systolic', 'LEAVING_INDICATOR']"
1026,0.025552187093980078,0.921875,15.150244661921707,"['O/E - blood pressure reading', 'BP Systolic', 'LEAVING_INDICATOR', 'O/E - weight']","['BP Diastolic', 'BMI']"
1061,0.025552187093980078,0.4199288256227758,15.150244661921707,"['BP Diastolic', 'BMI']","['O/E - blood pressure reading', 'BP Systolic', 'LEAVING_INDICATOR', 'O/E - weight']"
1033,0.025552187093980078,0.921875,15.150244661921707,"['BP Diastolic', 'O/E - blood pressure reading', 'LEAVING_INDICATOR', 'O/E - weight']","['BMI', 'BP Systolic']"
1054,0.025552187093980078,0.4199288256227758,15.150244661921707,"['BMI', 'BP Systolic']","['BP Diastolic', 'O/E - blood pressure reading', 'LEAVING_INDICATOR', 'O/E - weight']"
986,0.025552187093980078,0.4199288256227758,15.032800904852547,"['BMI', 'BP Systolic']","['O/E - blood pressure reading', 'LEAVING_INDICATOR', 'O/E - weight']"
1036,0.025552187093980078,0.4199288256227758,15.032800904852547,"['BP Diastolic', 'BMI', 'BP Systolic']","['O/E - blood pressure reading', 'LEAVING_INDICATOR', 'O/E - weight']"
981,0.025552187093980078,0.9147286821705426,15.032800904852547,"['O/E - blood pressure reading', 'LEAVING_INDICATOR', 'O/E - weight']","['BMI', 'BP Systolic']"
1427,0.025552187093980078,0.4199288256227758,15.032800904852547,"['BP Diastolic', 'BMI']","['O/E - blood pressure reading', 'LEAVING_INDICATOR', 'O/E - weight']"
1424,0.025552187093980078,0.9147286821705426,15.032800904852547,"['O/E - blood pressure reading', 'LEAVING_INDICATOR', 'O/E - weight']","['BP Diastolic', 'BMI']"
1051,0.025552187093980078,0.9147286821705426,15.032800904852547,"['O/E - blood pressure reading', 'LEAVING_INDICATOR', 'O/E - weight']","['BP Diastolic', 'BMI', 'BP Systolic']"
360,0.029449978345604158,0.48398576512455516,13.969039145907473,"['BP Diastolic', 'BMI']","['ENTERING_INDICATOR', 'BP Systolic', 'O/E - weight']"
357,0.029449978345604158,0.48398576512455516,13.969039145907473,"['BMI', 'BP Systolic']","['BP Diastolic', 'ENTERING_INDICATOR', 'O/E - weight']"
